Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,2524428,,,,2524428,,4982482,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,20247764,,,,20247764,,76017320,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,4437880,,,,4437880,,17664632,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,273035,,,,273035,,1598677,,,0
H5,2017,2017,2017,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,24513552,,,,24513552,,211710500,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,4383513,,,,4383513,,10662877,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,19422671,,,,19422671,,93593758,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,4316474,,,,4316474,,19276801,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,143246,,,,143246,,909503,,,0
H5,2018,2018,2018,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,26997641,,,,26997641,,239310102,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,12539186,,,,12539186,,25217733,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,14135303,,,,14135303,,72709392,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,3911150,,,,3911150,,16810987,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,153712,,,,153712,,1091809,,,0
H5,2019,2019,2019,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,30814101,,,,30814101,,275370243,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,9974793,,,,9974793,,23262879,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,11098937,,,,11098937,,62198730,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,3960053,,,,3960053,,14793124,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,209277,,,,209277,,1193980,,,0
H5,2020,2020,2020,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,30326238,,,,30326238,,259661819,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,2411509,,,,2411509,,3903587,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,12150610,,,,12150610,,58366315,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,4550301,,,,4550301,,13725155,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,471320,,,,471320,,2853473,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,23990215,,,,23990215,,189729474,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,3074289,,,,3074289,,4492352,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,10042132,,,,10042132,,49777029,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,3016196,,,,3016196,,10118424,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,519691,,,,519691,,2802272,,,0
H4,2013,2013,2013,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,21392848,,,,21392848,,147944021,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,5317785,,,,5317785,,5022021,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,11168585,,,,11168585,,50901993,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,3777715,,,,3777715,,13143595,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,479292,,,,479292,,2729040,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,26559464,,,,26559464,,182317172,,,0
H4,2015,2015,2015,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,2238328,,,,2238328,,3879685,,,0
H4,2015,2015,2015,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,17329344,,,,17329344,,59491931,,,0
H4,2015,2015,2015,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,4601353,,,,4601353,,15904552,,,0
H4,2015,2015,2015,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,405238,,,,405238,,2007026,,,0
H4,2015,2015,2015,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,24579731,,,,24579731,,187534645,,,0
H4,2016,2016,2016,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,2770707,,,,2770707,,5947570,,,0
H4,2016,2016,2016,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,17811581,,,,17811581,,61140164,,,0
H4,2016,2016,2016,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,4551897,,,,4551897,,15856048,,,0
H4,2016,2016,2016,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,354379,,,,354379,,2362082,,,0
H4,2016,2016,2016,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,23238889,,,,23238889,,180095194,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,957102,,,,957102,,1353724,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,8224940,,,,8224940,,26695509,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,4526178,,,,4526178,,11632579,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,341114,,,,341114,,1725886,,,0
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,26378798,,,,26378798,,134669827,,,0
H3,2011,2011,2011,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,2696215,,,,2696215,,3429525,,,0
H3,2011,2011,2011,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,11380233,,,,11380233,,42630710,,,0
H3,2011,2011,2011,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,4095198,,,,4095198,,12146659,,,0
H3,2011,2011,2011,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,516528,,,,516528,,2415418,,,0
H3,2011,2011,2011,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",8,Weight in kilograms,22693734,,,,22693734,,142008387,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,574757,,,,574757,,832663,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,5820140,,,,5820140,,20785092,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,2448249,,,,2448249,,5102455,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,164921,,,,164921,,634713,,,0
H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,3858265,,,,3858265,,14420315,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,177234,,,,177234,,201080,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,5088374,,,,5088374,,16679901,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,1348975,,,,1348975,,3543003,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,240284,,,,240284,,1713076,,,0
H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,3986452,,,,3986452,,18382378,,,0
H1,1998,1998,1998,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,1168460,,,,1168460,,1006949,,,0
H1,1998,1998,1998,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,2421585,,,,2421585,,10385763,,,0
H1,1998,1998,1998,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,0304,"Fish fillets, fish meat, mince except liver, roe",8,Weight in kilograms,881116,,,,881116,,1926053,,,0
